Name,CountryCode,Population
Chongqing,CHN,6351600.0
Chonju,KOR,563153.0
ChorzÃ³w,POL,121708.0
Chungli,TWN,318649.0
ChÃ¤rjew,TKM,189200.0
Cibinong,IDN,101300.0
Ciego de Ãvila,CUB,98505.0
Cilacap,IDN,206900.0
Cilegon,IDN,117000.0
Cimahi,IDN,344600.0
Cimanggis,IDN,205100.0
Ciomas,IDN,187400.0
Ciparay,IDN,111500.0
Ciputat,IDN,270800.0
Citeureup,IDN,105100.0
Ciudad de Guatemala,GTM,823301.0
Cixi,CHN,107329.0
Cluj-Napoca,ROM,332498.0
Coatzacoalcos,MEX,267037.0
Cochabamba,BOL,482800.0
Cochin (Kochi),IND,564589.0
Cockburn Town,TCA,4800.0
CodÃ³,BRA,103153.0
Coimbatore,IND,816321.0
Colatina,BRA,107354.0
Colombo,LKA,645000.0
Colorado Springs,USA,360890.0
Columbia,USA,116278.0
Columbus,USA,186291.0
Conakry,GIN,1090610.0
Concepcion,PHL,115171.0
ConcepciÃ³n,CHL,217664.0
Concord,USA,121780.0
Concordia,ARG,116485.0
Conselheiro Lafaiete,BRA,97507.0
Constantine,DZA,443727.0
Contagem,BRA,520801.0
CopiapÃ³,CHL,120128.0
Coquitlam,CAN,101820.0
CorumbÃ¡,BRA,90111.0
Cosoleacaque,MEX,97199.0
Cotabato,PHL,163849.0
Cotia,BRA,140042.0
Cotonou,BEN,536827.0
Coventry,GBR,304000.0
Crawley,GBR,97000.0
CriciÃºma,BRA,167661.0
CuautitlÃ¡n Izcalli,MEX,452976.0
Cuautla,MEX,153132.0
CubatÃ£o,BRA,102372.0
Cuddalore,IND,153086.0
Cuddapah,IND,121463.0
Cuenca,ECU,270353.0
CuiabÃ¡,BRA,453813.0
CuliacÃ¡n,MEX,744859.0
CuricÃ³,CHL,115766.0
Curitiba,BRA,1584232.0
CÃ³rdoba,ARG,1157507.0
CÃºcuta,COL,606932.0
Dagupan,PHL,130328.0
Daito,JPN,130594.0
Dali,CHN,136554.0
Dalian,CHN,2697000.0
Damanhur,EGY,212203.0
Daqing,CHN,660000.0
Daraga (Locsin),PHL,101031.0
Darbhanga,IND,218391.0
DasmariÃ±as,PHL,379520.0
Davao,PHL,1147116.0
DaÂ´an,CHN,138963.0
Dehra Dun,IND,270159.0
Delft,NLD,95268.0
Delhi Cantonment,IND,94326.0
Delicias,MEX,116132.0
Delmas,HTI,240429.0
Delta,CAN,95411.0
Denpasar,IDN,435000.0
Depok,IDN,236000.0
Dera Ghazi Khan,PAK,188100.0
Derbent,RUS,92300.0
Dese,ETH,97314.0
Deyang,CHN,182488.0
Dezful,IRN,202639.0
Dezhou,CHN,195485.0
Dhule (Dhulia),IND,278317.0
Diadema,BRA,335078.0
Dibrugarh,IND,120127.0
Digos,PHL,125171.0
Dinajpur,BGD,127815.0
Dindigul,IND,182477.0
Dipolog,PHL,99862.0
Dire Dawa,ETH,164851.0
Disuq,EGY,91300.0
DivinÃ³polis,BRA,185047.0
Djibouti,DJI,383000.0
Dniprodzerzynsk,UKR,270000.0
Dobric,BGR,100399.0
Dongtai,CHN,192247.0
Dongwan,CHN,308669.0
Dongying,CHN,281728.0
Donostia-San SebastiÃ¡n,ESP,179208.0
Dordrecht,NLD,119811.0
Dos Hermanas,ESP,94591.0
Dos Quebradas,COL,159363.0
Douala,CMR,1448300.0
Douglas,GBR,23487.0
Dourados,BRA,164716.0
Dubai,ARE,669181.0
Dublin,IRL,481854.0
Dudley,GBR,192171.0
Dujiangyan,CHN,123357.0
Dumaguete,PHL,102265.0
Dundee,GBR,146690.0
Dunedin,NZL,119600.0
Duque de Caxias,BRA,746758.0
Durban,ZAF,566120.0
Durg,IND,150645.0
Durgapur,IND,425836.0
Duyun,CHN,132971.0
DÃ¼ren,DEU,91092.0
East London,ZAF,221047.0
East York,CAN,114034.0
Eastbourne,GBR,90000.0
Ebetsu,JPN,118805.0
Ebina,JPN,115571.0
Ecatepec de Morelos,MEX,1620303.0
Ech-Chleff (el-Asnam),DZA,96794.0
Ede,NLD,101574.0
